TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	Bienvenue dans Hearstone	

ACCESSIBILITY_PRESS_KEY_TO_START	Appuyez sur {0} pour commencer	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	Appuyez sur {0} pour continuer	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	Appuyez sur {0} pour terminer	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	Appuyez sur {0} pour retourner en arrière	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	Appuyez sur {0} pour quitter	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	Appuyez sur {0} une fois que vous avez terminé	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	Utilisez les flèches gauche et droite pour naviguer dans le menu. Appuyez sur {0} pour sélectionner une option.	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	Utilisez les flèches gauche et droite pour naviguer dans le menu. Appuyez sur {0} pour sélectionner une option. Appuyez sur {1} pour revenir en arrière	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	Utilisez les flèches gauche et droite pour naviguer dans le menu. Utilisez les flèches haut et bas pour lire les options. Appuyez sur {0} pour sélectionner une option.	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	Utilisez les flèches gauche et droite pour naviguer dans le menu. Utilisez les flèches haut et bas pour lire les options. Appuyez sur {0} pour sélectionner une option. Appuyez sur {1} pour revenir en arrière	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} sur {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	Aucun élément.	

ACCESSIBILITY_OPTIONS_MENU_TITLE	Menu Options	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	Graphismes : Qualité	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	Graphismes : résolution	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	Utilisez les flèches gauche et droite pour régler le volume	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} case a cocher	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	Coché	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	Non-coché	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	Menu Principal	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	Appuyez sur {0} à tout moment pour ouvrir le menu du jeu. Essayez maintenant!	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_SOCIAL_MENU	Appuyez sur {0} à tout moment pour ouvrir le menu social. Essayez maintenant!	0=F4 key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_HELP	Appuyez sur {0} à tout moment si vous êtes perdu. Si vous avez besoin de l'aide d'une personne voyante, vous pouvez toujours appuyer sur {1} pour désactiver l'accessibilité et lui permettre de contrôler le jeu à l'aide de la souris. N'oubliez pas d'appuyer sur {1} une fois qu'ils ont terminé pour réactiver l'accessibilité	0=Esc key 1=F8 key

ACCESSIBILITY_GLOBAL_LOADING_GAME	Chargement en cours	
ACCESSIBILITY_GLOBAL_CLOSING_GAME	Fermeture.	
ACCESSIBILITY_GLOBAL_GAME_LOADED	Chargement terminé	
ACCESSIBILITY_GLOBAL_LOADING	Chargement	
ACCESSIBILITY_GLOBAL_PLEASE_WAIT	Veuillez patienter	
ACCESSIBILITY_GLOBAL_CARD	carte	
ACCESSIBILITY_GLOBAL_CARD_PLURAL	cartes	
ACCESSIBILITY_GLOBAL_HERO	Héros	
ACCESSIBILITY_GLOBAL_HERO_POWER	Pouvoir héroïque	
ACCESSIBILITY_GLOBAL_SECRET	Secret de {0}	0=secret class e.g. {Mage} secret
ACCESSIBILITY_GLOBAL_GAME_SPEED	Vitesse de jeu {0}	0=current game speed
ACCESSIBILITY_GLOBAL_GAME_SPEED_CANNOT_ADJUST_VS_PLAYERS	Vous ne pouvez pas ajuster la vitesse de jeu lorsque vous jouez contre des adversaires humains	
ACCESSIBILITY_GLOBAL_NEW_HEARTHSTONE_ACCESS_VERSION_AVAILABLE	Une nouvelle version de Hearthstone Access est disponible. Veuillez réexécuter le patch dès que possible car il pourrait contenir des corrections de bugs	
ACCESSIBILITY_GLOBAL_CANNOT_DO_THAT	Vous ne pouvez pas faire cela	
ACCESSIBILITY_GLOBAL_SWITCH_FORMAT	changer de format	Used as a menu option for switching between standard, wild and classic
ACCESSIBILITY_GLOBAL_CHOOSE_FORMAT	Choisissez un format	Used as a menu title for choosing standard, wild or classic

ACCESSIBILITY_GLOBAL_KEYWORD_CURSED	maudit	

ACCESSIBILITY_GLOBAL_ACCESSIBILITY_ON	Accessibilité activée	Read when F8 is pressed and accessibility is turned on
ACCESSIBILITY_GLOBAL_ACCESSIBILITY_OFF	Accessibilité désactivée 	Read when F8 is pressed and accessibility is turned off
ACCESSIBILITY_GLOBAL_STREAMER_MODE_ON	Mode streamer activé	Read when Ctrl+Shift+S is pressed and streamer mode is turned on
ACCESSIBILITY_GLOBAL_STREAMER_MODE_OFF	mode streamer mode désactivé	Read when Ctrl+Shift+S is pressed and streamer mode is turned off

ACCESSIBILITY_FORMATTING_PERIOD	.	
ACCESSIBILITY_FORMATTING_SENTENCE_ENDING_CHARACTERS	.!?;	
ACCESSIBILITY_FORMATTING_LIST_SEPARATOR	,	e.g. the ", " in A, B, C, D and E
ACCESSIBILITY_FORMATTING_LIST_FINAL_SEPARATOR	et	e.g. the " and " in A, B, C, D and E

ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_1	Premier	Languages with grammatical genders can work around using digits and configure text that uses ordinal numbers such as "minion number 1" instead of "first minion"
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_2	Deuxième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_3	Troisième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_4	Quatrième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_5	Cinquième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_6	Sixième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_7	Septième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_8	Huitième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_9	Neuvième	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_10	Dixième	

ACCESSIBILITY_INPUT_COMMAND_WITH_MODIFIER_FORMAT	Shift + {0}	0=key e.g. Shift + F
ACCESSIBILITY_INPUT_COMMAND_WITH_CTRL_FORMAT	Ctrl + {0}	0=key e.g. Ctrl + F

ACCESSIBILITY_READ_CARD_COST	{0} mana	0=card cost
ACCESSIBILITY_READ_CARD_ATK_HEALTH	{0} {1}	0=attack 1=health e.g. 3 2
ACCESSIBILITY_READ_CARD_ATK_DURABILITY	{0} {1}	0=attack 1=durability e.g. 1 3
ACCESSIBILITY_READ_HERO_CARD_ATK	{0} attaque	0=attack
ACCESSIBILITY_READ_HERO_CARD_HEALTH	{0} vie	0=health
ACCESSIBILITY_READ_HERO_CARD_ARMOR	{0} armure	0=armor
ACCESSIBILITY_READ_CARD_N_COPIES	{0} copies	0=number of copies
ACCESSIBILITY_READ_COLLECTION_CARD_NAME_GOLDEN	{0} - edition dorrée'	0=card name e.g. {fireball} - golden edition
ACCESSIBILITY_READ_COLLECTION_CARD_NAME_DIAMOND	{0} - edition diamant	0=card name

ACCESSIBILITY_GAMEPLAY_OPPONENT_TURN	Tour de votre adversaire	
ACCESSIBILITY_GAMEPLAY_TURN_ENDED	Fin de tour	
ACCESSIBILITY_GAMEPLAY_CARD_IN_ZONE_TRIGGERED	{0} s'active	0=full card name in zone e.g. {Your second Murloc Raider} triggered
ACCESSIBILITY_GAMEPLAY_PLAYER_CARD_TRIGGERED	{0} s'active	0=card name e.g. Your {Psyfiend} triggered
ACCESSIBILITY_GAMEPLAY_OPPONENT_CARD_TRIGGERED	{0} de votre adversaire s'active	0=card name e.g. Your opponent's {Psyfiend} triggered
ACCESSIBILITY_GAMEPLAY_OPPONENT_CARD_TRIGGERED_BIG_CARD	{0} de votre adversaire s'active; {1}	0=card name 1=cardText e.g. Your opponent's {Psyfiend} triggered; {After you cast a Shadow spell, deal 2 damage to each Hero.}
ACCESSIBILITY_GAMEPLAY_PLAYER_PLAYED_CARD	Vous jouez {0}	0=card name e.g. You played {Fireball}
ACCESSIBILITY_GAMEPLAY_PLAYER_PLAYED_CARD_BIG_CARD	Vous jouez {0}; {1}	0=card name 1=card text e.g. You played {Fireball}; {Deal 6 damage.}
ACCESSIBILITY_GAMEPLAY_OPPONENT_PLAYED_CARD	votre adversaire joue  {0}	0=card name e.g. Your opponent played {Fireball}
ACCESSIBILITY_GAMEPLAY_OPPONENT_PLAYED_CARD_BIG_CARD	votre adversaire joue {0}; {1}	0=card name 1=card text e.g. Your opponent played {Fireball}; {Deal 6 damage.}
ACCESSIBILITY_GAMEPLAY_PLAYER_SUMMONED_MINION	Vous invoquez {0}	0=minion name e.g. You summoned {Raid Leader}
ACCESSIBILITY_GAMEPLAY_PLAYER_SUMMONED_MINION_BIG_CARD	Vous invoquez {0}; {1} {2} {3}	0=minion name 1=attack 2=health 3=card text e.g. You summoned {Raid Leader}; {2} {3} {Your other minions have +1 Attack.}
ACCESSIBILITY_GAMEPLAY_OPPONENT_SUMMONED_MINION	votre adversaire invoque {0}	0=minion name e.g. Your opponent summoned {Raid Leader}
ACCESSIBILITY_GAMEPLAY_OPPONENT_SUMMONED_MINION_BIG_CARD	votre adversaire invoque {0}; {1} {2} {3}	0=minion name 1=attack 2=health 3=card text e.g. Your opponent summoned {Raid Leader}; {2} {3} {Your other minions have +1 Attack.}
ACCESSIBILITY_GAMEPLAY_PLAYER_TRADED_CARD	Vous échangez {0}	0=card name e.g. You traded {Fire Sale}
ACCESSIBILITY_GAMEPLAY_OPPONENT_TRADED_CARD	votre adversaire échange {0}	0=card name e.g. Your opponent traded {Fire Sale}
ACCESSIBILITY_GAMEPLAY_PLAYER_EQUIPPED_WEAPON	Vous équipez {0}	0=weapon name e.g. You equipped {Aldrachi Warblades}
ACCESSIBILITY_GAMEPLAY_PLAYER_EQUIPPED_WEAPON_BIG_CARD	Vous équipez {0}; {1} {2} {3}	0=weapon name 1=attack 2=durability 3=card text e.g. You equipped {Aldrachi Warblades}; {2} {2} {Lifesteal}
ACCESSIBILITY_GAMEPLAY_OPPONENT_EQUIPPED_WEAPON	votre adversaire  équipe {0}	0=weapon name e.g. Your opponent equipped {Aldrachi Warblades}
ACCESSIBILITY_GAMEPLAY_OPPONENT_EQUIPPED_WEAPON_BIG_CARD	votre adversaire équipe {0}; {1} {2} {3}	0=weapon name 1=attack 2=durability 3=card text e.g. Your opponent equipped {Aldrachi Warblades}; {2} {2} {Lifesteal}
ACCESSIBILITY_GAMEPLAY_PLAYER_USED_HERO_POWER	Vous utilisez {0}	0=hero power name e.g. You used {Fireblast}
ACCESSIBILITY_GAMEPLAY_PLAYER_USED_HERO_POWER_BIG_CARD	Vous utilisez {0}; {1}	0=hero power name 1=card text e.g. You used {Fireblast}; {Hero Power Deal 1 damage.}
ACCESSIBILITY_GAMEPLAY_OPPONENT_USED_HERO_POWER	votre adversaire utilise {0}	0=hero power name e.g. Your opponent used {Fireblast}
ACCESSIBILITY_GAMEPLAY_OPPONENT_USED_HERO_POWER_BIG_CARD	votre adversaire utilise {0}; {1}	0=hero power name 1=card text e.g. Your opponent used {Fireblast}; {Hero Power Deal 1 damage.}
ACCESSIBILITY_GAMEPLAY_PLAYER_CAST_SECRET	Vous lancez {0}	0=secret name e.g. You cast {Counterspell}
ACCESSIBILITY_GAMEPLAY_PLAYER_CAST_SECRET_BIG_CARD	Vous lancez {0}; {1}	0=secret name 1=card text e.g. You cast {Counterspell}; {Secret: When your opponent casts a spell, Counter it.}
ACCESSIBILITY_GAMEPLAY_OPPONENT_CAST_SECRET	votre adversaire lance 1 {0} secret	0=secret class e.g. Your opponent cast 1 {mage} secret
ACCESSIBILITY_GAMEPLAY_OPPONENT_CAST_N_SECRETS	votre adversaire lance {0} secrets	0=number of secrets e.g. Your opponent cast {2} secrets
ACCESSIBILITY_GAMEPLAY_PLAYER_DREW_CARD_FROM_EMPTY_DECK	Vous tentez de tirer une carte d'un paquet vide	
ACCESSIBILITY_GAMEPLAY_OPPONENT_DREW_CARD_FROM_EMPTY_DECK	votre adversaire tente de tirer une carte d'un paquet vide	
ACCESSIBILITY_GAMEPLAY_PLAYER_DREW_CARD_BUT_BURNED	Vous avez pioché 1 {0} mais la carte brûle	0=card e.g. You drew 1 {Fireball} but it burned
ACCESSIBILITY_GAMEPLAY_OPPONENT_DREW_CARD_BUT_BURNED	votre adversaire a pioché 1 {0} mais la carte brûle	0=card e.g. Your opponent drew 1 {Fireball} but it burned
ACCESSIBILITY_GAMEPLAY_ENTITY_ATTACKED	{0} attaque {1}	0=attacker name 1=defender name e.g. {Your Murloc Raider} attacked {your opponent's Hero}
ACCESSIBILITY_GAMEPLAY_ENTITY_ATTACKED_OTHER	{0} tente d'attaquer {1} mais attaque {2} à la place	0=attacker name 1=proposed defender name 2=real defender name e.g. {Your Murloc Raider} attempted to attack {your opponent's Hero} but attacked {your opponent's Bloodfen Raptor} instead
ACCESSIBILITY_GAMEPLAY_JOUST_PLAYER_REVEALED_CARD	Vous révélez une carte coutant {0} , {1}	0=card cost 1=card name e.g. You revealed a 4 cost Fireball
ACCESSIBILITY_GAMEPLAY_JOUST_OPPONENT_REVEALED_CARD	votre adversaire révèle une carte coutant {0}, {1}	0=card cost 1=card name e.g. Your opponent revealed a 4 cost Fireball
ACCESSIBILITY_GAMEPLAY_JOUST_PLAYER_NO_VALID_CARDS	Vous n'avez plus de carte valide à révéler	
ACCESSIBILITY_GAMEPLAY_JOUST_OPPONENT_NO_VALID_CARDS	votre adversaire n'a plus de carte valide à révéler	

ACCESSIBILITY_GAMEPLAY_PLAYER_TURN_START_READ_MANA	Vous avez {0} mana	0=mana
ACCESSIBILITY_GAMEPLAY_YOU_GO_FIRST	Vous jouez en premier	
ACCESSIBILITY_GAMEPLAY_OPPONENT_GOES_FIRST	votre adversaire joue en premier	
ACCESSIBILITY_GAMEPLAY_YOU_START_WITH_N_CARDS	Vous commencez avec {0} |4(carte,cartes)	0=number of cards
ACCESSIBILITY_GAMEPLAY_PLAYER_DREW_CARDS	Vous piochez {0}	0=card names e.g. You drew {1 Bloodfen Raptor and 1 Murloc Raider}
ACCESSIBILITY_GAMEPLAY_OPPONENT_DREW_CARDS	votre adversaire pioche {0}	0=card names e.g. Your opponent drew {1 Bloodfen Raptor and 1 Murloc Raider}
ACCESSIBILITY_GAMEPLAY_PLAYER_DISCARDED_CARDS	Vous jetez {0}	0=card names e.g. You discarded {1 Bloodfen Raptor and 1 Murloc Raider}
ACCESSIBILITY_GAMEPLAY_OPPONENT_DISCARDED_CARDS	votre adversaire jete {0}	0=card names e.g. Your opponent discarded {1 Bloodfen Raptor and 1 Murloc Raider}
ACCESSIBILITY_GAMEPLAY_YOU_GET_THE_COIN	Vous obtenez la pièce	
ACCESSIBILITY_GAMEPLAY_WAITING_FOR_OPPONENT	En attente de votre adversaire	
ACCESSIBILITY_GAMEPLAY_QUERY_SUMMON_MINION	Invoquer?	
ACCESSIBILITY_GAMEPLAY_QUERY_SUMMON_MINION_AT_THE_RIGHT	Invoquer a droite?	
ACCESSIBILITY_GAMEPLAY_QUERY_SUMMON_MINION_AT_THE_LEFT	Invoquer a gauche?	
ACCESSIBILITY_GAMEPLAY_QUERY_SUMMON_MINION_BETWEEN	Invoquer entre {0} et {1}?	Summon between {Murloc Raider} and {Bloodfen Raptor}?
ACCESSIBILITY_GAMEPLAY_QUERY_PLAY_CARD	Jouer la carte?	
ACCESSIBILITY_GAMEPLAY_QUERY_TRADE_CARD	échanger la carte?	
ACCESSIBILITY_GAMEPLAY_QUERY_END_TURN_WHEN_VALID_PLAYS	Vous avez encore des options de jeux valides. Êtes vous sur?	
ACCESSIBILITY_GAMEPLAY_QUERY_END_TURN_WHEN_CAN_ATK	Vous pouvez encore attaquer. Êtes vous sur?	
ACCESSIBILITY_GAMEPLAY_QUERY_END_TURN_WHEN_CAN_USE_HERO_POWER	Vous pouvez encore utilisé votre pouvoir héroïque. Êtes vous sur?	
ACCESSIBILITY_GAMEPLAY_SEND_TO_FACE_NO_MINIONS	Vous n'avez aucun serviteur invoqué	
ACCESSIBILITY_GAMEPLAY_SEND_TO_FACE_HERO_CANT_BE_ATTACKED	Le Héros adverse ne peut pas être attaqué	
ACCESSIBILITY_GAMEPLAY_SEND_TO_FACE_HERO_CANT_BE_TARGETED	Le Héros adverse ne peut pas être visé	
ACCESSIBILITY_GAMEPLAY_SEND_TO_FACE_HERO_NO_VALID_ATTACKERS	Aucun de vos serviteurs ne peut attaquer le héros adverse	
ACCESSIBILITY_GAMEPLAY_CHOOSE_TARGET	Choisissez une cible	
ACCESSIBILITY_GAMEPLAY_N_SECONDS_REMAINING	{0} secondes restantes	0=number of seconds - always plural e.g. {20} seconds remaining
ACCESSIBILITY_GAMEPLAY_VS_PLAYER_ANNOUNCEMENT	Vous jouez contre {0}, le {1}	0=opponent's name 1=opponent's class e.g. You're playing against {GuideDev}, the {Demon Hunter}

ACCESSIBILITY_GAMEPLAY_SEE_ZONE_PLAYER_HAND_EMPTY	Votre main est vide	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_PLAYER_MINIONS_EMPTY	Vous n'avez aucun serviteur	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_OPPONENT_MINIONS_EMPTY	Votre adversaire n'a aucun serviteur	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_PLAYER_SECRETS_EMPTY	Vous n'avez pas de secrets placés	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_OPPONENT_SECRETS_EMPTY	votre adversaire n'a pas de secrets placés	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_OPPONENT_SECRETS_COUNT	votre adversaire a {0} |4(secret,secrets)	0=number of secrets
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_PLAYER_HERO_POWER_EMPTY	Vous n'avez pas de pouvoir héroïque	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_OPPONENT_HERO_POWER_EMPTY	votre adversaire n'a pas de pouvoir héroïque	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_PLAYER_WEAPON_EMPTY	Vous n'avez pas equipé d'arme	
ACCESSIBILITY_GAMEPLAY_SEE_ZONE_OPPONENT_WEAPON_EMPTY	votre adversaire n'a pas equipé d'arme	
ACCESSIBILITY_GAMEPLAY_READ_PLAYER_MANA_CURRENT_AND_TOTAL	Vous avez {0} sur {1} mana	0=current mana 1=total mana
ACCESSIBILITY_GAMEPLAY_READ_PLAYER_MANA	Vous avez {0} mana	0=current and total mana
ACCESSIBILITY_GAMEPLAY_READ_OPPONENT_MANA	votre adversaire a {0} mana	0=current and total mana
ACCESSIBILITY_GAMEPLAY_READ_PLAYER_CORPSES	Vous avez {0} |4(cadavre,cadavres)	0=current amount of corpses
