TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	Benvenuto in Hearthstone	

ACCESSIBILITY_PRESS_KEY_TO_START	Premi {0} per iniziare	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	Premi {0} per continuare	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	Premi {0} per terminare	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	Premi {0} per tornare indietro	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	Premi {0} per uscire	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	Premi {0} quando hai finito	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	Usa le frecce su e giù per spostarti nel menù. Premi {0} per selezionare un'opzione	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	Usa le frecce su e giù per spostarti nel menù. Premi {0} per selezionare un'opzione. Premi {1} per tornare indietro	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	Usa le frecce sinistra e destra per spostarti nel menù. Usa le frecce su e giù per leggere le opzioni. Premi {0} per selezionare un'opzione	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	Usa le frecce sinistra e destra per spostarti nel menù. Usa le frecce su e giù per leggere le opzioni. Premi {0} per selezionare un'opzione. Premi {1} per tornare indietro	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} di {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	Nessun elemento	

ACCESSIBILITY_OPTIONS_MENU_TITLE	Menù Opzioni	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	Qualità Grafica	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	Risoluzione Grafica	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	Usa le frecce sinistra e destra per regolare il volume	
