TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	HearthStone에 온 것을 환영합니다.	

ACCESSIBILITY_PRESS_KEY_TO_START	시작하려면 {0}키를 누르세요.	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	계속하려면 {0}키를 누르세요.	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	마치려면 {0}키를 누르세요.	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	이전으로 돌아가려면 {0}키를 누르세요.	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	끝내려면 {0}키를 누르세요.	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	완료되면 {0}키를 누르세요.	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	위/아래 방향키를 눌러 메뉴 목록을 탐색할 수 있습니다. 활성화하려면 {0}키를 누르세요.	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	위/아래 방향키를 눌러 메뉴 목록을 탐색할 수 있습니다. 활성화하려면 {0}키를 누르세요. 이전으로 돌아가려면 {1}키를 누르세요.	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	왼쪽/오른쪽 방향키를 눌러 메뉴 목록을 탐색하고, 위/아래 방향키를 눌러 옵션을 선택할 수 있습니다. 활성화하려면 {0}키를 누르세요.	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	왼쪽/오른쪽 방향키를 눌러 메뉴 목록을 탐색하고, 위/아래 방향키를 눌러 옵션을 선택할 수 있습니다. 활성화하려면 {0}키를 누르세요. 이전으로 돌아가려면 {1}키를 누르세요.	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} ; {1} / {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	목록 없음	

ACCESSIBILITY_OPTIONS_MENU_TITLE	설정 메뉴	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	그래픽 품질	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	그래픽 해상도	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	왼쪽/오른쪽 방향키를 눌러 볼륨을 조절하세요.	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} 체크상자	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	선택됨	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	선택 안 됨	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	메인 메뉴	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	게임 메뉴를 열려면 언제든지 {0}키를 누르세요. 지금 시도해보세요.	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_SOCIAL_MENU	소셜 메뉴를 열려면 언제든지 {0}키를 누르세요. 지금 시도해보세요.	0=F4 key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_HELP	도움이 필요하다면 언제든지 {0}키를 누르세요. 비시각장애인의 도움이 필요하다면 언제든지 {1}키를 눌러 접근성 모드를 끄고 마우스를 이용하여 게임을 제어할 수 있습니다. 접근성 모드를 다시 켜고자 한다면 언제든지 다시 {1}키를 누르세요.	0=Esc key 1=F8 key

ACCESSIBILITY_GLOBAL_LOADING_GAME	게임 불러오는 중	
ACCESSIBILITY_GLOBAL_CLOSING_GAME	게임 닫는 중	
ACCESSIBILITY_GLOBAL_GAME_LOADED	불러오기 완료	
ACCESSIBILITY_GLOBAL_LOADING	불러오는 중	
ACCESSIBILITY_GLOBAL_PLEASE_WAIT	오래 걸리지 않습니다.	
ACCESSIBILITY_GLOBAL_CARD	카드	
ACCESSIBILITY_GLOBAL_CARD_PLURAL	카드	
ACCESSIBILITY_GLOBAL_HERO	영웅	
ACCESSIBILITY_GLOBAL_HERO_POWER	영웅 능력	
ACCESSIBILITY_GLOBAL_SECRET	{0}의 비밀	0=secret class e.g. {Mage} secret
ACCESSIBILITY_GLOBAL_GAME_SPEED	게임 속도 {0}	0=current game speed
ACCESSIBILITY_GLOBAL_GAME_SPEED_CANNOT_ADJUST_VS_PLAYERS	타인과 대전 중에는 게임 속도를 조절할 수 없습니다.	
ACCESSIBILITY_GLOBAL_NEW_HEARTHSTONE_ACCESS_VERSION_AVAILABLE	새 버전의 HearthStone Access를 사용할 수 있습니다. 지금 패치 파일을 다시 실행하여 버그 수정 및 새 기능을 만나보세요.	
ACCESSIBILITY_GLOBAL_CANNOT_DO_THAT	지금은 사용할 수 없습니다.	
ACCESSIBILITY_GLOBAL_SWITCH_FORMAT	대전 모드 전환	Used as a menu option for switching between standard, wild and classic
