TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	Bem vindo ao Hearthstone	

ACCESSIBILITY_PRESS_KEY_TO_START	Pressione {0} para começar	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	Pressione {0} para continuar	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	Pressione {0} para finalizar	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	Pressione {0} para voltar	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	Pressione {0} para sair	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	Pressione {0} quando terminar	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	Use as setas para cima e para baixo para navegar pelo menu. Pressione {0} para selecionar uma opção	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	Use as setas para cima e para baixo para navegar pelo menu. Pressione {0} para selecionar uma opção. Pressione {1} para voltar ao menu anterior	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	Use as setas esquerda e direita para navegar pelo menu. Use as setas para cima e para baixo para ler as opções. Pressione {0} para selecionar uma opção	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	Use as setas esquerda e direita para navegar pelo menu. Use as setas para cima e para baixo para ler as opções. Pressione {0} para selecionar uma opção. Pressione {1} para voltar	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} de {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	Não ha items	

ACCESSIBILITY_OPTIONS_MENU_TITLE	Menu de Opções	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	Qualidade dos gráficos	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	Resolução dos gráficos	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	Use as setas esquerda e direita para ajustar o volume	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} Caixa de verificação	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	Marcada	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	Não marcada	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	Menu Principal	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	Pressione {0} em qualquer momento para abrir o menu do jogo. Tente isso agora!	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_SOCIAL_MENU	Pressione {0} em qualquer momento para abrir o painel social. Tente isso agora!	0=F4 key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_HELP	Pressione {0} em qualquer momento se você se sentir desorientado. Se você precisar de ajuda de uma pessoa convencional, você pode sempre pressionar {1} para desativar o modo de acessibilidade e deixar ela controlar o jogo usando o mouse como de costume. Lémbresse somente de pressionar {1} assim que ela terminar para reativar o modo de acessibilidade	0=Esc key 1=F8 key

ACCESSIBILITY_GLOBAL_LOADING_GAME	Carregando o jogo	
ACCESSIBILITY_GLOBAL_CLOSING_GAME	Fechando o jogo	
ACCESSIBILITY_GLOBAL_GAME_LOADED	Jogo carregado	
ACCESSIBILITY_GLOBAL_LOADING	Carregando	
ACCESSIBILITY_GLOBAL_PLEASE_WAIT	Porfavor espere	
ACCESSIBILITY_GLOBAL_CARD	card	
ACCESSIBILITY_GLOBAL_CARD_PLURAL	cards	
ACCESSIBILITY_GLOBAL_HERO	Herói	
ACCESSIBILITY_GLOBAL_HERO_POWER	Poder heroico	
ACCESSIBILITY_GLOBAL_SECRET	segredo de {0}	0=secret class e.g. {Mage} secret
ACCESSIBILITY_GLOBAL_GAME_SPEED	Velocidade do jogo {0}	0=current game speed
ACCESSIBILITY_GLOBAL_GAME_SPEED_CANNOT_ADJUST_VS_PLAYERS	Você não pode mudar a velocidade do jogo enquanto joga contra oponentes humanos	
ACCESSIBILITY_GLOBAL_NEW_HEARTHSTONE_ACCESS_VERSION_AVAILABLE	Uma nova versão do Hearthstone Access está disponível. Execute o patcher novamente sempre que possível, pois pode conter correções de bugs e algumas novidades	
ACCESSIBILITY_GLOBAL_CANNOT_DO_THAT	Você não pode fazer isso	
ACCESSIBILITY_GLOBAL_SWITCH_FORMAT	Trocar formato de jogo	Used as a menu option for switching between standard, wild and classic
ACCESSIBILITY_GLOBAL_CHOOSE_FORMAT	Escolha um formato de jogo	Used as a menu title for choosing standard, wild or classic

ACCESSIBILITY_GLOBAL_KEYWORD_CURSED	Maldito	

ACCESSIBILITY_GLOBAL_ACCESSIBILITY_ON	Acessibilidade ativada	Read when F8 is pressed and accessibility is turned on
ACCESSIBILITY_GLOBAL_ACCESSIBILITY_OFF	Acessibilidade desativada	Read when F8 is pressed and accessibility is turned off
ACCESSIBILITY_GLOBAL_STREAMER_MODE_ON	Modo streamer ativado	Read when Ctrl+Shift+S is pressed and streamer mode is turned on
ACCESSIBILITY_GLOBAL_STREAMER_MODE_OFF	Modo streamer desativado	Read when Ctrl+Shift+S is pressed and streamer mode is turned off

ACCESSIBILITY_FORMATTING_PERIOD	.	
ACCESSIBILITY_FORMATTING_SENTENCE_ENDING_CHARACTERS	.!?;	
ACCESSIBILITY_FORMATTING_LIST_SEPARATOR	,	e.g. the ", " in A, B, C, D and E
ACCESSIBILITY_FORMATTING_LIST_FINAL_SEPARATOR	e	e.g. the " and " in A, B, C, D and E

ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_1	número 1	Languages with grammatical genders can work around using digits and configure text that uses ordinal numbers such as "minion number 1" instead of "first minion"
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_2	número 2	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_3	número 3	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_4	número 4	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_5	número 5	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_6	número 6	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_7	número 7	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_8	número 8	
