TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	Добро пожаловать в Hearthstone	

ACCESSIBILITY_PRESS_KEY_TO_START	чтобы начать нажмите {0}	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	Для продолжения нажмите {0}	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	Для завершения нажмите {0}	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	для возврата нажмите {0}	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	для выхода нажмите {0}	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	Нажмите {0}, когда будете готовы	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	Используйте стрелки вверх и вниз для перемещения по меню. Нажмите {0} для выбора	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	Используйте стрелки вверх и вниз для перемещения по меню. Нажмите {0} для выбора или {1} для возврата	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	Используйте стрелки влево и вправо для перемещения по меню, стрелки вверх и вниз для чтения, {0} для выбора	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	Используйте стрелки влево и вправо для перемещения по меню, стрелки вверх и вниз для чтения, {0} для выбора и {1} для возврата	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} из {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	Нет элементов	

ACCESSIBILITY_OPTIONS_MENU_TITLE	Меню Настроек	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	Качество графики	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	Разрешение экрана	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	Для регулировки громкости Используйте стрелки влево и вправо	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} флажок	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	Отмечено	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	Не отмечено	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	Главное Меню	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	Нажмите {0} в любое время, чтобы открыть меню игры. Попробуйте прямо сейчас!	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_SOCIAL_MENU	Нажмите {0} в любое время, чтобы открыть социальное меню. Попробуйте прямо сейчас!	0=F4 key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_HELP	Если вы заблудились, нажмите {0} в любое время. Если вам нужна помощь зрячего человека, вы всегда можете нажать {1}, чтобы отключить специальные возможности и разрешить ему управлять игрой с помощью мыши. Когда помощь зрячего человека будет не нужна, не забудьте нажать {1}, чтобы снова включить специальные возможности	0=Esc key 1=F8 key

ACCESSIBILITY_GLOBAL_LOADING_GAME	Загрузка игры	
ACCESSIBILITY_GLOBAL_CLOSING_GAME	Закрытие игры	
ACCESSIBILITY_GLOBAL_GAME_LOADED	Игра загружена	
ACCESSIBILITY_GLOBAL_LOADING	Загрузка	
ACCESSIBILITY_GLOBAL_PLEASE_WAIT	Пожалуйста, подождите	
ACCESSIBILITY_GLOBAL_CARD	карта	
ACCESSIBILITY_GLOBAL_CARD_PLURAL	карты	
ACCESSIBILITY_GLOBAL_HERO	Герой	
ACCESSIBILITY_GLOBAL_HERO_POWER	Сила героя	
ACCESSIBILITY_GLOBAL_SECRET	{0} секрет	0=secret class e.g. {Mage} secret
ACCESSIBILITY_GLOBAL_GAME_SPEED	Скорость игры {0}	0=current game speed
ACCESSIBILITY_GLOBAL_GAME_SPEED_CANNOT_ADJUST_VS_PLAYERS	Вы не можете изменять скорость игры во время игры с реальными игроками	
ACCESSIBILITY_GLOBAL_NEW_HEARTHSTONE_ACCESS_VERSION_AVAILABLE	Доступна новая версия Hearthstone Access. Пожалуйста, запустите патчер снова, так как обновление может содержать исправление ошибок	
ACCESSIBILITY_GLOBAL_CANNOT_DO_THAT	Вы не можете сделать этого	
ACCESSIBILITY_GLOBAL_SWITCH_FORMAT	Переключить формат	Used as a menu option for switching between standard, wild and classic
ACCESSIBILITY_GLOBAL_CHOOSE_FORMAT	Выберите формат	Used as a menu title for choosing standard, wild or classic

ACCESSIBILITY_GLOBAL_KEYWORD_CURSED	Проклят	

ACCESSIBILITY_GLOBAL_ACCESSIBILITY_ON	Специальные возможности включены	Read when F8 is pressed and accessibility is turned on
ACCESSIBILITY_GLOBAL_ACCESSIBILITY_OFF	Специальные возможности отключены	Read when F8 is pressed and accessibility is turned off
ACCESSIBILITY_GLOBAL_STREAMER_MODE_ON	Режим стримера включен	Read when Ctrl+Shift+S is pressed and streamer mode is turned on
ACCESSIBILITY_GLOBAL_STREAMER_MODE_OFF	Режим стримера отключен	Read when Ctrl+Shift+S is pressed and streamer mode is turned off

ACCESSIBILITY_FORMATTING_PERIOD	.	
ACCESSIBILITY_FORMATTING_SENTENCE_ENDING_CHARACTERS	.!?;	
ACCESSIBILITY_FORMATTING_LIST_SEPARATOR	,	e.g. the ", " in A, B, C, D and E
ACCESSIBILITY_FORMATTING_LIST_FINAL_SEPARATOR	и	e.g. the " and " in A, B, C, D and E

ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_1	номер 1	Languages with grammatical genders can work around using digits and configure text that uses ordinal numbers such as "minion number 1" instead of "first minion"
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_2	номер 2	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_3	номер 3	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_4	номер 4	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_5	номер 5	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_6	номер 6	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_7	номер 7	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_8	номер 8	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_9	номер 9	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_10	номер 10	

ACCESSIBILITY_INPUT_COMMAND_WITH_MODIFIER_FORMAT	Shift + {0}	0=key e.g. Shift + F
ACCESSIBILITY_INPUT_COMMAND_WITH_CTRL_FORMAT	Ctrl + {0}	0=key e.g. Ctrl + F

ACCESSIBILITY_READ_CARD_COST	{0} маны	0=card cost
ACCESSIBILITY_READ_CARD_ATK_HEALTH	{0} {1}	0=attack 1=health e.g. 3 2
ACCESSIBILITY_READ_CARD_ATK_DURABILITY	{0} {1}	0=attack 1=durability e.g. 1 3
ACCESSIBILITY_READ_HERO_CARD_ATK	{0} атаки	0=attack
ACCESSIBILITY_READ_HERO_CARD_HEALTH	{0} здоровья	0=health
ACCESSIBILITY_READ_HERO_CARD_ARMOR	{0} брони	0=armor
ACCESSIBILITY_READ_CARD_N_COPIES	{0} копий	0=number of copies
ACCESSIBILITY_READ_COLLECTION_CARD_NAME_GOLDEN	{0} - золотая	0=card name e.g. {fireball} - golden edition
ACCESSIBILITY_READ_COLLECTION_CARD_NAME_DIAMOND	{0} - алмазная	0=card name

ACCESSIBILITY_GAMEPLAY_OPPONENT_TURN	Ход противника	
ACCESSIBILITY_GAMEPLAY_TURN_ENDED	Ход завершен	
ACCESSIBILITY_GAMEPLAY_CARD_IN_ZONE_TRIGGERED	{0} срабатывает	0=full card name in zone e.g. {Your second Murloc Raider} triggered
ACCESSIBILITY_GAMEPLAY_PLAYER_CARD_TRIGGERED	{0} срабатывает	0=card name e.g. Your {Psyfiend} triggered
ACCESSIBILITY_GAMEPLAY_OPPONENT_CARD_TRIGGERED	{0} противника срабатывает	0=card name e.g. Your opponent's {Psyfiend} triggered
ACCESSIBILITY_GAMEPLAY_OPPONENT_CARD_TRIGGERED_BIG_CARD	{0} противника срабатывает; {1}	0=card name 1=cardText e.g. Your opponent's {Psyfiend} triggered; {After you cast a Shadow spell, deal 2 damage to each Hero.}
ACCESSIBILITY_GAMEPLAY_PLAYER_PLAYED_CARD	Вы сыграли {0}	0=card name e.g. You played {Fireball}
ACCESSIBILITY_GAMEPLAY_PLAYER_PLAYED_CARD_BIG_CARD	Вы сыграли {0}; {1}	0=card name 1=card text e.g. You played {Fireball}; {Deal 6 damage.}
ACCESSIBILITY_GAMEPLAY_OPPONENT_PLAYED_CARD	Противник сыграл {0}	0=card name e.g. Your opponent played {Fireball}
