TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	ยินดีต้อนรับเข้าสู่ Hearthstone	

ACCESSIBILITY_PRESS_KEY_TO_START	กด {0} เพื่อเริ่มเกม	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	กด {0} เพื่อดำเนินการต่อ	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	กด {0} เพื่อเสร็จสิ้น	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	กด {0} เพื่อย้อนกลับ	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	กด {0} เพื่อออก	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	กด {0} เมื่อคุณพร้อมแล้ว	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	ใช้ลูกศรขึ้นหรือลูกศรลงเพื่อเปลี่ยนเมนู กด {0} เพื่อเลือก	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	ใช้ลูกศรขึ้นหรือลูกศรลงเพื่อเปลี่ยนเมนู กด {0} เพื่อเลือก กด {1} เพื่อย้อนกลับ	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	ใช้ลูกศรซ้ายหรือลูกศรขวาเพื่อเปลี่ยนเมนู ใช้ลูกศรขึ้นหรือลูกศรลงเพื่ออ่านตัวเลือก กด {0} เพื่อเลือก	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	ใช้ลูกศรซ้ายหรือลูกศรขวาเพื่อเปลี่ยนเมนู ใช้ลูกศรขึ้นหรือลูกศรลงเพื่ออ่านตัวเลือก กด {0} เพื่อเลือก กด {1} เพื่อย้อนกลับ	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} จาก {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	ไม่มีตัวเลือก	

ACCESSIBILITY_OPTIONS_MENU_TITLE	ตั้งค่าเมนู	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	ปรับคุณภาพกราฟิก	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	ปรับความละเอียดหน้าจอ	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	ใช้ลูกศรซ้ายหรือลูกศรขวาเพื่อปรับความดังของเสียง	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} ช่องทำเครื่องหมาย	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	เลือก	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	ไม่เลือก	
