TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	欢迎来到炉石传说	

ACCESSIBILITY_PRESS_KEY_TO_START	按 {0} 开始	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	按 {0} 继续	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	按 {0} 完成	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	按 {0} 返回	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	按 {0} 退出	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	按 {0} 一次	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	使用上下箭头浏览菜单。 按 {0} 选择一个选项	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	使用上下箭头浏览菜单。 按 {0} 选择一个选项。 按 {1} 返回	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	使用左右箭头浏览菜单。使用上下箭头阅读选项。 按 {0} 选择一个选项	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	使用左右箭头浏览菜单。 使用 上下箭头浏览菜单选项。 按 {0} 选择一个选项。 按 {1} 返回	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} / {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	没有项目	

ACCESSIBILITY_OPTIONS_MENU_TITLE	选项菜单	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	画面质量	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	画面分辨率	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	使用左右箭头调整音量	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} 复选框	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	选中	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	未选中	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	主菜单	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	按 {0} 随时打开菜单。	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_SOCIAL_MENU	按 {0} 随时打开社交菜单，现在就尝试一下吧！	0=F4 key
